Month,Stock,monthly_return,Rank,Type
2024-05,DRREDDY,-7.883101391650108,4,Top Loser
2024-05,ONGC,-6.52404526166902,5,Top Loser
2024-06,ADANIENT,-12.841368904739042,1,Top Loser
2024-06,LT,-8.947564245666712,2,Top Loser
2024-06,BPCL,-8.745646691485529,3,Top Loser
2024-06,COALINDIA,-7.6510198106763045,4,Top Loser
2024-06,ADANIPORTS,-6.682660437513818,5,Top Loser
2024-07,AXISBANK,-7.591726761233075,1,Top Loser
2024-07,BAJFINANCE,-6.456178926031542,2,Top Loser
2024-07,HDFCBANK,-5.2457189772460735,3,Top Loser
2024-07,TATASTEEL,-5.020968575860276,4,Top Loser
2024-07,NESTLEIND,-4.351466064405591,5,Top Loser
2024-08,MARUTI,-7.156571762213626,1,Top Loser
2024-08,ADANIPORTS,-6.807533880451529,2,Top Loser
2024-08,POWERGRID,-6.563278870119092,3,Top Loser
2024-08,TATASTEEL,-6.31669324175151,4,Top Loser
2024-08,ADANIENT,-6.151216100707129,5,Top Loser
2024-09,TATAMOTORS,-10.799432572186895,1,Top Loser
2024-09,ONGC,-8.767627222562835,2,Top Loser
2024-09,TCS,-5.586091726479473,3,Top Loser
2024-09,INFY,-4.525324510053454,4,Top Loser
2024-09,TECHM,-4.2176540248383105,5,Top Loser
2024-10,INDUSINDBK,-25.11881960700859,1,Top Loser
2024-10,BAJAJ-AUTO,-19.09240835866075,2,Top Loser
2024-10,NESTLEIND,-16.405312055558646,3,Top Loser
2024-10,TATACONSUM,-16.192267502612335,4,Top Loser
2024-10,MARUTI,-15.870803584991638,5,Top Loser
2024-11,ADANIENT,-24.461773181895236,1,Top Loser
2024-11,ADANIPORTS,-18.477481353987383,2,Top Loser
2024-11,ASIANPAINT,-15.90727418065548,3,Top Loser
2024-11,BRITANNIA,-14.837389448538127,4,Top Loser
2024-11,NTPC,-11.158380940804676,5,Top Loser
