date,Stock,cumulative_return
2023-03-11,ADANIPORTS,1.034195813288259
2023-04-10,ADANIPORTS,1.0721622675854894
2023-04-12,ADANIPORTS,1.142439214666493
2023-05-10,ADANIPORTS,1.0729424002080352
2023-05-12,ADANIPORTS,1.3172539331686386
2023-06-10,ADANIPORTS,1.0801586269665844
2023-06-11,ADANIPORTS,1.0434273826550513
2023-06-12,ADANIPORTS,1.323560005200884
2023-07-11,ADANIPORTS,1.036991288519048
2023-07-12,ADANIPORTS,1.3517748017162916
2023-08-11,ADANIPORTS,1.064490963463789
2023-08-12,ADANIPORTS,1.3300611103887658
2023-09-10,ADANIPORTS,1.0272396307372251
2023-09-11,ADANIPORTS,1.0482382004940838
2023-10-10,ADANIPORTS,1.0655311402938497
2023-10-11,ADANIPORTS,1.0513587309842671
2023-11-10,ADANIPORTS,1.0594851124691196
2023-11-12,ADANIPORTS,1.341698088675075
2023-12-10,ADANIPORTS,1.0596151345728773
2023-12-11,ADANIPORTS,1.056104537771421
2023-12-12,ADANIPORTS,1.3547653101027175
2024-01-01,ADANIPORTS,1.3624366142244182
2024-01-02,ADANIPORTS,1.584774411649981
2024-01-03,ADANIPORTS,1.719022233779743
2024-01-04,ADANIPORTS,1.7889741256013527
2024-01-07,ADANIPORTS,1.9171759199063845
2024-01-08,ADANIPORTS,2.067546482902094
2024-01-10,ADANIPORTS,1.9080743726433496
2024-01-11,ADANIPORTS,1.813028214796516
2024-02-01,ADANIPORTS,1.4021583669223772
2024-02-02,ADANIPORTS,1.6401638278507351
2024-02-03,ADANIPORTS,1.7400858145884803
2024-02-04,ADANIPORTS,1.8257053699128856
2024-02-05,ADANIPORTS,1.7407359251072685
2024-02-07,ADANIPORTS,1.917630997269536
2024-02-08,ADANIPORTS,2.0647510076713047
2024-02-09,ADANIPORTS,1.9431803406579125
2024-03-01,ADANIPORTS,1.422766870367963
2024-03-04,ADANIPORTS,1.8166688337017296
2024-03-05,ADANIPORTS,1.7166818359121054
2024-03-06,ADANIPORTS,2.05948511246912
2024-03-07,ADANIPORTS,1.964178910414771
2024-03-09,ADANIPORTS,1.9237420361461453
2024-03-10,ADANIPORTS,1.8530750227538688
2024-04-01,ADANIPORTS,1.4604082694057994
2024-04-03,ADANIPORTS,1.7456767650500589
2024-04-04,ADANIPORTS,1.7772071252112864
2024-04-06,ADANIPORTS,1.6239110648810304
2024-04-07,ADANIPORTS,1.9550773631517369
2024-04-09,ADANIPORTS,1.9140553894162011
2024-04-10,ADANIPORTS,1.8381224808217405
2024-04-11,ADANIPORTS,1.754323234949942
2024-05-01,ADANIPORTS,1.5007801326225465
2024-05-02,ADANIPORTS,1.6363931868417634
2024-05-03,ADANIPORTS,1.74008581458848
2024-05-04,ADANIPORTS,1.7885190482382007
2024-05-06,ADANIPORTS,1.7612794175009754
2024-05-07,ADANIPORTS,1.950916655831492
2024-05-08,ADANIPORTS,1.942335196983488
2024-05-09,ADANIPORTS,1.905538941620076
2024-05-11,ADANIPORTS,1.7284488363021715
2024-06-02,ADANIPORTS,1.6553114029385
2024-06-03,ADANIPORTS,1.722532830581199
2024-06-05,ADANIPORTS,1.677220127421662
2024-06-06,ADANIPORTS,1.7591340527889745
2024-06-08,ADANIPORTS,1.9426602522428813
2024-06-09,ADANIPORTS,1.8754388246001823
2024-06-11,ADANIPORTS,1.7813028214796516
2024-07-02,ADANIPORTS,1.6326225458327916
2024-07-03,ADANIPORTS,1.7233779742556237
2024-07-05,ADANIPORTS,1.674229619035236
2024-07-06,ADANIPORTS,1.7928097776622025
2024-07-08,ADANIPORTS,2.007281237810428
2024-07-10,ADANIPORTS,1.762059550123521
2024-07-11,ADANIPORTS,1.7593290859446105
2024-08-01,ADANIPORTS,1.519763359771161
2024-08-02,ADANIPORTS,1.6190352359901186
2024-08-04,ADANIPORTS,1.753543102327396
2024-08-05,ADANIPORTS,1.6607073202444418
2024-08-07,ADANIPORTS,1.9182160967364452
2024-08-08,ADANIPORTS,1.9750357560785337
2024-08-10,ADANIPORTS,1.8444285528539857
2024-08-11,ADANIPORTS,1.771031075282799
2024-09-01,ADANIPORTS,1.5564946040826946
2024-09-02,ADANIPORTS,1.653231049278378
2024-09-04,ADANIPORTS,1.763749837472371
2024-09-05,ADANIPORTS,1.6181900923156944
2024-09-07,ADANIPORTS,1.9217266935379025
2024-09-08,ADANIPORTS,1.994279027434665
2024-09-09,ADANIPORTS,1.8669873878559364
2024-09-10,ADANIPORTS,1.8309062540631915
2024-10-01,ADANIPORTS,1.5789234169808872
2024-10-04,ADANIPORTS,1.7582889091145502
2024-10-05,ADANIPORTS,1.6470549993498902
2024-10-06,ADANIPORTS,1.7995709270576004
2024-10-07,ADANIPORTS,1.9344688597061508
2024-10-09,ADANIPORTS,1.8897412560135232
2024-10-10,ADANIPORTS,1.8426732544532576
2024-11-01,ADANIPORTS,1.5641008971525163
2024-11-03,ADANIPORTS,1.7253283058119886
2024-11-06,ADANIPORTS,1.8247952151865825
2024-11-07,ADANIPORTS,1.929332986607724
2024-11-09,ADANIPORTS,1.860096216356781
2024-11-10,ADANIPORTS,1.831036276166949
2024-11-11,ADANIPORTS,1.7525679365492142
2024-12-01,ADANIPORTS,1.5694968144584585
2024-12-02,ADANIPORTS,1.624431153296061
