stock_name,ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ_AUTO,BAJAJFINSV,BAJFINANCE,BEL,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,JSWSTEEL,KOTAKBANK,LT,M_M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SHRIRAMFIN,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,TRENT,ULTRACEMCO,WIPRO
BHARTIARTL,0.1577142352735083,0.5930772067646383,0.720860627385134,-0.3333261829640003,0.441217639354477,0.8824504322645075,0.4251572446655274,-0.1712243784571597,0.7662863216171265,1.0,0.6535429669307707,0.6754463623616982,0.8086893352746068,0.612203043491445,0.5571546035911514,0.7633623361985744,0.8234959005225247,0.5961173593541206,0.2403801184308537,0.3734292430453893,0.6993282563397699,0.6748963833252538,0.259286871471176,0.8656548361779357,-0.6329328598838847,0.5872161146669526,0.3210829589211133,0.798590386342111,-0.0635225847899667,0.2372716013424302,0.8859714345636633,0.6689189832251444,-0.3312546340218861,0.8050571693716525,0.5604692020579548,0.8197526688686974,0.2258503936647221,0.5460424728136217,0.7134695725440025,0.8745197921383705,0.8027522608129799,-0.0756545523992511,0.3424747782416616,0.5858779850381465,0.4733580379509141,0.8185306534044997,-0.2246799451107839,0.9003802047416438,0.611934818132064,0.5539159694195442
BPCL,0.4079360390403331,0.746380453247494,0.7449496663415532,-0.2654228681418309,0.2503123779042349,0.774439657519277,0.3226988805085448,-0.563796128832188,0.4480023840476058,0.6535429669307707,1.0,0.4178002268918651,0.7359385143381945,0.8985196365696345,0.6921472949113645,0.5540257558975735,0.5695622552660288,0.641384568238439,-0.1429514854982371,0.37399378131314,0.6946830943793988,0.2477862140022551,0.092548579668451,0.6000691811608478,-0.2922113280225482,0.5371283990981731,0.1278627300211962,0.4590746963717884,-0.1025762969513771,0.3734727782600324,0.4720350879208668,0.6347923983641086,-0.0588351963652075,0.819042399775751,0.8087427484352904,0.8063549713742915,0.5058617436964311,0.7004254908858043,0.5893609065859439,0.6811801470234224,0.8231101717544558,0.3893642368121342,0.78915104921098,0.4042475152596321,0.6427087921572535,0.4807208530019476,0.1674285451288297,0.7449164305484494,0.5013782638500581,0.4202059752301565
BRITANNIA,0.1809274631193593,0.4311780564576872,0.4662379877589647,0.2719749790811367,0.5767969419727426,0.6238765299192967,0.479072569140635,0.0380125041707056,0.5409477839048843,0.6754463623616982,0.4178002268918651,1.0,0.4873668326983225,0.5079398182515968,0.4021894739101972,0.6581432763350795,0.6232721000734815,0.3876298854291088,0.4162960060750416,0.4046290137565737,0.7045685730729168,0.7169465906490236,0.7344534868159331,0.4923743605355082,-0.177797759043292,0.5238250165815106,0.6082375264938283,0.6484244629808856,0.3146915079117378,0.1453102353170225,0.6185916115606439,0.2942740943997696,0.1854163402149548,0.5967648855901214,0.2564966976154476,0.5347912828344233,0.1535379257384778,0.5582434183534014,0.2059624818419718,0.5902636576022314,0.4363459152217266,0.2195185418102805,0.1619991156009679,0.2834759129156583,0.3013884224378731,0.6185808186613009,0.0497866838403511,0.6831593697268384,0.7309855459488188,0.2962637881532784
CIPLA,0.1372263518448131,0.5455359302933311,0.765903186641543,-0.3578761594673285,0.1603223648494256,0.8309019713638596,0.3365553116359056,-0.3107688197089825,0.5751027719576987,0.8086893352746068,0.7359385143381945,0.4873668326983225,1.0,0.6829408424262162,0.6113311464224206,0.4397557114288093,0.6241960374812128,0.7708801730854955,-0.0727012206222283,0.4038901985180467,0.6388572861436329,0.3306686690948882,0.2403812225378961,0.6813407790774335,-0.4864644955803587,0.6467084812920444,0.1621294559404654,0.5333055795086676,-0.0844761846582255,0.2404540756644914,0.6635581805004623,0.6299829979059267,-0.249683357385992,0.6793454786542392,0.6988105221634275,0.7546191255810036,0.3755690801898631,0.6419558161809484,0.6151854394449974,0.83786812935226,0.8788940286284926,0.1830104273471525,0.4825945308323572,0.398088505166299,0.5623261017058173,0.67078839050349,-0.0351467068076157,0.8001312206039988,0.5138113326417654,0.5217394349728048
COALINDIA,0.4276513742666959,0.7645322029610272,0.6319148389232865,-0.1615432660776155,0.3542958196180853,0.7096096735265096,0.1829716191889691,-0.502170706901388,0.5430170821119964,0.612203043491445,0.8985196365696345,0.5079398182515968,0.6829408424262162,1.0,0.7108314871062839,0.5670830365909023,0.6104251140023595,0.5105291248518123,-0.0835846069038185,0.3214112101252612,0.7528964731142954,0.3508981816270045,0.2194603339703546,0.5277049458641178,-0.1384137915350378,0.495335491650738,0.1365616323797522,0.4383978545353895,0.0810040642375296,0.3415228610587145,0.5103083314073605,0.6502435848955632,0.1002818637295653,0.7856399956100562,0.8440269939847065,0.8261709681055853,0.636664257321896,0.6476174643239654,0.5351478373613483,0.6364415776995199,0.6929784275761075,0.5121357850716435,0.818628617292978,0.4609641515762215,0.5117454703389337,0.4171173956274585,0.1237617084935533,0.6896915397669956,0.6360154972673249,0.3491850945332869
DRREDDY,0.2750100246742523,0.6516719956077087,0.7234007536299364,-0.1018877766820992,0.2542514359112995,0.5221212935188889,0.2679385676004079,-0.3401901028550829,0.5050080746816215,0.5571546035911514,0.6921472949113645,0.4021894739101972,0.6113311464224206,0.7108314871062839,1.0,0.402876151250109,0.7148335774923359,0.6717513977579295,0.1025683119214551,0.6054723811933116,0.4075090487284102,0.1591391034042226,0.1966112495268104,0.6300563159606424,-0.3481712292429802,0.7403838406598484,0.3179328991545824,0.4520281850722131,0.0998048587695867,0.3636202714936705,0.4154278282063164,0.4960640861742182,-0.0586013987989493,0.7447459689745443,0.8098633779919072,0.7241789164708848,0.499922622829462,0.7021914567812083,0.5203043046448852,0.6899711387403077,0.7534108366624537,0.3325116567956447,0.6436613667482927,0.2810981196075353,0.7108944623064138,0.6576209014794764,0.0281153483292535,0.5835594522313308,0.5782282157703569,0.6390782706736254
EICHERMOT,0.1808418415487646,0.5626533823796592,0.5625650535661317,-0.1418284006901068,0.6376262984619316,0.6603362460630827,0.3341193392830344,-0.1663324121877044,0.7205230977147931,0.7633623361985744,0.5540257558975735,0.6581432763350795,0.4397557114288093,0.5670830365909023,0.402876151250109,1.0,0.7165305131286621,0.2520513772226636,0.4751015802428909,0.2766893297012034,0.6462589206164226,0.7383551583478309,0.1481249160450263,0.7254197134085059,-0.4698487174101723,0.2404918301204238,0.3889108820549144,0.7430321763073524,-0.0406513366316792,0.3184613285363794,0.7499144444023598,0.5024419229187346,-0.1912841385605682,0.7284871771219924,0.3566559249959258,0.6840350247980566,0.1296248626200326,0.4035386645669206,0.5765836399404474,0.5888472290734913,0.4770492913452449,-0.1258968740115142,0.3040633680753775,0.5234240856655845,0.2143091233661647,0.584342203387876,-0.2238695745952851,0.7503377710877656,0.6418621739228163,0.3127605003275853
GRASIM,0.1464740346470014,0.6547546960266823,0.6350011461971841,-0.1913197894302141,0.644846907221613,0.7181563698477332,0.3816292906227851,-0.0922432883200859,0.8226346952227525,0.8234959005225247,0.5695622552660288,0.6232721000734815,0.6241960374812128,0.6104251140023595,0.7148335774923359,0.7165305131286621,1.0,0.5439940327525745,0.3897324132222191,0.4272247752146131,0.6041500107564742,0.6114847251987932,0.2142368429804772,0.9101771493285332,-0.4779341166899687,0.5761642657904363,0.2714045422774674,0.7802932469010975,0.1324284779695474,0.3364233980758511,0.7876828401964466,0.6009063010292027,-0.0810727176726601,0.7608550620226474,0.5971622144780354,0.8203010870098717,0.4631307749273917,0.5612968312628012,0.7032507128768153,0.8355061344827557,0.6870421791848288,0.0294229437868548,0.4325994447518875,0.5940244666213186,0.4709614076888791,0.7817123092528607,-0.1824186298007902,0.8234425370538452,0.7677040209775962,0.7088378873276793
HCLTECH,0.2764243704670609,0.532568815207472,0.8189778640973988,-0.1798302798242713,0.1587690706609269,0.6471168267294058,0.5322863606030331,-0.205846763304787,0.4046822629820091,0.5961173593541206,0.641384568238439,0.3876298854291088,0.7708801730854955,0.5105291248518123,0.6717513977579295,0.2520513772226636,0.5439940327525745,1.0,0.0925166371380483,0.6622425321286053,0.4551366626721128,0.1643728446418001,0.2254692499567915,0.6242511484218115,-0.3932550600620714,0.8440023498656612,0.2642950891271143,0.5235525741622238,0.2100260819961278,0.3939914335860339,0.3912281848102873,0.309925549545014,-0.1394671028686245,0.6419210313126086,0.5676554246517165,0.5425553694221105,0.3584904092270281,0.7334238494432282,0.4050209089346814,0.7726319945168414,0.8223440817002226,0.2368895674402074,0.3853089106153862,0.1584431699070767,0.7119093633093464,0.7412229265406101,0.2062116294239058,0.6600513559732385,0.5331621826309076,0.72979360670652
HDFCBANK,0.1804831984080781,0.253743375025139,0.1632891696308317,0.2443746192478857,0.605939288817952,0.1094532440912616,0.286740492774907,0.354943409756115,0.5023150683610839,0.2403801184308537,-0.1429514854982371,0.4162960060750416,-0.0727012206222283,-0.0835846069038185,0.1025683119214551,0.4751015802428909,0.3897324132222191,0.0925166371380483,1.0,0.4209191880685341,0.1173455109539752,0.4156136187257941,0.1977502284440371,0.3747750749427594,-0.1845780408985722,0.0480578039860951,0.4164422367257392,0.5824258634344713,0.4800474786071375,0.4521130035069818,0.3956357164503137,-0.1007476504985664,0.0758203583231999,0.2969297357551388,-0.2753383559779833,0.0834766021810336,-0.1507940422013093,0.1204636314859528,0.1082721756167402,0.2077882451541992,-0.0152794265192037,-0.2357777768932691,-0.2675371355689039,0.2073311189758355,-0.1199000010190186,0.3691669129778687,-0.0206599693864669,0.2390278926846633,0.5507912181502203,0.2916461291780596
