open,month,volume,high,Ticker,close,date,low
567.0,2023-12,10614230,574.2,SBIN,571.75,2023-12-01 05:30:00,566.55
7160.0,2023-12,900477,7279.85,BAJFINANCE,7259.35,2023-12-01 05:30:00,7142.0
3499.0,2023-12,655263,3500.0,TITAN,3489.5,2023-12-01 05:30:00,3470.0
437.9,2023-12,19336856,450.95,ITC,449.8,2023-12-01 05:30:00,437.4
3500.0,2023-12,1172141,3516.95,TCS,3511.65,2023-12-01 05:30:00,3490.05
3129.95,2023-12,2112908,3197.95,LT,3190.65,2023-12-01 05:30:00,3121.05
934.29,2023-12,1115523,941.2,TATACONSUM,931.27,2023-12-01 05:30:00,928.21
1189.0,2023-12,14342842,1198.2,RELIANCE,1197.15,2023-12-01 05:30:00,1188.8
1346.0,2023-12,1854324,1349.0,HCLTECH,1336.7,2023-12-01 05:30:00,1328.0
805.0,2023-12,2064512,815.0,JSWSTEEL,810.8,2023-12-01 05:30:00,796.9
9103.8,2023-12,353015,9163.4,ULTRACEMCO,9033.85,2023-12-01 05:30:00,8972.0
211.5,2023-12,20719909,212.45,POWERGRID,210.2,2023-12-01 05:30:00,209.45
1459.9,2023-12,3489187,1459.9,INFY,1452.3,2023-12-01 05:30:00,1446.15
2787.0,2023-12,1049846,2837.4,TRENT,2807.7,2023-12-01 05:30:00,2752.4
1015.0,2023-12,5544950,1022.55,BHARTIARTL,1014.7,2023-12-01 05:30:00,1008.2
708.0,2023-12,10565415,711.0,TATAMOTORS,705.45,2023-12-01 05:30:00,703.0
413.75,2023-12,4915213,413.75,WIPRO,407.65,2023-12-01 05:30:00,406.5
1226.8,2023-12,1017856,1226.8,TECHM,1220.55,2023-12-01 05:30:00,1211.55
262.35,2023-12,29121320,275.45,NTPC,268.95,2023-12-01 05:30:00,261.75
2547.5,2023-12,1345599,2581.95,HINDUNILVR,2563.65,2023-12-01 05:30:00,2542.0
5550.0,2023-12,546990,5687.65,APOLLOHOSP,5591.15,2023-12-01 05:30:00,5530.35
1656.0,2023-12,2489755,1666.0,M&M,1625.5,2023-12-01 05:30:00,1621.2
2011.95,2023-12,924834,2030.93,GRASIM,2008.07,2023-12-01 05:30:00,2000.05
935.95,2023-12,16986046,952.0,ICICIBANK,946.7,2023-12-01 05:30:00,933.0
2370.0,2023-12,1792983,2403.35,ADANIENT,2362.7,2023-12-01 05:30:00,2354.1
839.2,2023-12,2932775,839.2,ADANIPORTS,827.8,2023-12-01 05:30:00,825.5
147.95,2023-12,34466616,150.3,BEL,147.45,2023-12-01 05:30:00,146.75
1680.0,2023-12,1101136,1688.7,BAJAJFINSV,1685.95,2023-12-01 05:30:00,1669.95
3922.0,2023-12,683211,3950.0,EICHERMOT,3891.2,2023-12-01 05:30:00,3882.05
343.8,2023-12,15105221,351.1,COALINDIA,346.65,2023-12-01 05:30:00,342.45
10608.0,2023-12,591519,10759.0,MARUTI,10585.7,2023-12-01 05:30:00,10533.0
1479.0,2023-12,4063279,1493.0,INDUSINDBK,1461.05,2023-12-01 05:30:00,1458.15
3146.95,2023-12,960196,3190.6,ASIANPAINT,3173.4,2023-12-01 05:30:00,3140.25
128.9,2023-12,31192397,130.3,TATASTEEL,130.0,2023-12-01 05:30:00,128.05
694.05,2023-12,2106753,695.0,HDFCLIFE,682.15,2023-12-01 05:30:00,680.05
1160.0,2023-12,1391500,1171.31,DRREDDY,1149.88,2023-12-01 05:30:00,1147.89
1233.05,2023-12,1749751,1241.85,SUNPHARMA,1231.25,2023-12-01 05:30:00,1225.0
1760.0,2023-12,2002378,1766.0,KOTAKBANK,1750.5,2023-12-01 05:30:00,1748.25
2014.0,2023-12,606990,2029.9,SHRIRAMFIN,2003.25,2023-12-01 05:30:00,1997.0
2433.99,2023-12,636500,2436.5,NESTLEIND,2433.86,2023-12-01 05:30:00,2415.64
195.25,2023-12,9935740,198.25,ONGC,194.55,2023-12-01 05:30:00,194.25
1213.45,2023-12,1078680,1217.85,CIPLA,1205.7,2023-12-01 05:30:00,1203.5
220.0,2023-12,19278842,221.2,BPCL,219.0,2023-12-01 05:30:00,216.7
4873.0,2023-12,485597,4984.0,BRITANNIA,4970.75,2023-12-01 05:30:00,4860.05
1438.05,2023-12,808841,1445.0,SBILIFE,1423.65,2023-12-01 05:30:00,1420.1
520.05,2023-12,4933886,524.8,HINDALCO,517.2,2023-12-01 05:30:00,515.3
3860.0,2023-12,1060628,3865.0,HEROMOTOCO,3760.0,2023-12-01 05:30:00,3740.35
1075.4,2023-12,14428758,1109.0,AXISBANK,1104.65,2023-12-01 05:30:00,1070.2
1557.9,2023-12,11076768,1565.75,HDFCBANK,1555.4,2023-12-01 05:30:00,1552.1
6050.0,2023-12,439023,6090.0,BAJAJ-AUTO,6046.05,2023-12-01 05:30:00,6003.3
